RegionName,Year,AvgHouseholdMedianIncome,AvgRent
"Baltimore, MD",2018.0,49347.0,1896.8461073138928
"Baltimore, MD",2019.0,51001.0,1851.7111229952552
"Baltimore, MD",2020.0,54005.6,1789.0105550705275
"Baltimore, MD",2021.0,54733.6,1923.9327848557923
"Bangor, ME",2012.0,40833.0,921.2443486169126
"Bangor, ME",2013.0,40388.0,954.7932482154888
"Bangor, ME",2014.0,40531.0,911.1069912728572
"Bangor, ME",2015.0,40307.0,970.290035804126
"Bangor, ME",2016.0,42351.0,963.3359519547762
"Bangor, ME",2017.0,46493.0,1014.399708934057
"Bangor, ME",2018.0,47789.0,1108.043811095889
"Bangor, ME",2019.0,52700.0,1086.8425125216943
"Bangor, ME",2020.0,54550.0,1072.0885120175194
"Bangor, ME",2021.0,57428.0,1217.1458888309471
"Baton Rouge, LA",2012.0,28264.5,1067.0990381843897
"Baton Rouge, LA",2013.0,29056.0,1062.2687090266743
"Baton Rouge, LA",2014.0,29536.25,1107.089399777514
"Baton Rouge, LA",2015.0,29753.25,1113.886574846328
"Baton Rouge, LA",2016.0,29746.75,1146.4156272390633
"Baton Rouge, LA",2017.0,30273.0,1165.408883760925
"Baton Rouge, LA",2018.0,31537.75,1326.030692800834
"Baton Rouge, LA",2019.0,41595.6,1279.245662120344
"Baton Rouge, LA",2020.0,45233.8,1174.3754117072065
"Baton Rouge, LA",2021.0,46216.2,1219.3562143426273
"Battle Creek, MI",2014.0,42677.0,639.26346731608
"Battle Creek, MI",2015.0,42089.25,662.3481408313299
"Battle Creek, MI",2016.0,43708.25,688.0309897251497
"Battle Creek, MI",2017.0,45163.0,740.6913711183546
"Battle Creek, MI",2018.0,46639.5,817.0812693120101
"Bay City, MI",2014.0,41918.5,708.9178808379756
"Bay City, MI",2015.0,41466.0,675.7808268141754
"Bay City, MI",2016.0,41454.5,686.3842162569736
"Bay City, MI",2017.0,42346.5,713.4235175709781
"Bay City, MI",2018.0,44173.5,770.057630754849
"Bay City, MI",2019.0,44614.5,747.7145504482793
"Bay City, MI",2020.0,44312.5,774.5019645071812
"Bay City, MI",2021.0,48038.0,816.5171081584557
"Beaumont, TX",2014.0,35209.6,914.1457247148752
"Beaumont, TX",2015.0,36397.0,897.7152988482535
"Beaumont, TX",2016.0,37774.6,893.7069437523011
"Beaumont, TX",2017.0,40574.6,955.7309298876232
"Beaumont, TX",2018.0,41247.0,1042.6604385956598
"Beaumont, TX",2019.0,44854.8,1070.8260212725563
"Beaumont, TX",2020.0,47515.8,1073.9341924362295
"Beaumont, TX",2021.0,47675.2,1109.3766448646977
"Beckley, WV",2012.0,35814.0,446.9501373922749
"Beckley, WV",2013.0,37124.0,472.0861449591021
"Beckley, WV",2015.0,38585.0,508.2711940492481
"Beckley, WV",2016.0,39697.0,524.6363710370913
"Beckley, WV",2017.0,42376.0,527.9689768371323
"Beckley, WV",2018.0,43066.0,558.8818605596756
"Beckley, WV",2019.0,42875.0,546.74521134952
"Bellingham, WA",2014.0,50941.0,1665.768258870424
"Bellingham, WA",2015.0,51086.0,1696.476160825095
"Bellingham, WA",2016.0,51974.666666666664,1844.600150463627
"Bellingham, WA",2017.0,54463.666666666664,2047.2985478948071
"Bellingham, WA",2018.0,56852.333333333336,2383.837811052985
"Bellingham, WA",2019.0,62112.333333333336,2408.6408456245063
"Bellingham, WA",2020.0,65111.333333333336,2404.212076431341
"Bellingham, WA",2021.0,67999.33333333333,2764.197882580629
"Bend, OR",2014.0,52828.333333333336,1772.9388717019128
"Bend, OR",2015.0,53441.0,1908.524253411758
"Bend, OR",2016.0,54734.333333333336,2040.40777261934
"Bend, OR",2017.0,56672.666666666664,2277.4707982902887
"Bend, OR",2018.0,66081.66666666667,2558.734711474837
"Bend, OR",2019.0,69147.66666666667,2521.9987821469954
"Bend, OR",2021.0,78771.0,3074.9850371643565
"Billings, MT",2012.0,57087.5,1175.4358584276283
"Billings, MT",2013.0,57775.5,1276.4764730612053
"Billings, MT",2015.0,58092.0,1451.9075601585473
"Billings, MT",2016.0,60409.5,1447.2686374835928
"Billings, MT",2017.0,62761.5,1515.7619741307935
"Billings, MT",2018.0,62050.5,1637.7682918966748
"Billings, MT",2019.0,64116.25,1597.718170954084
"Billings, MT",2020.0,70844.25,1547.4862078212552
"Billings, MT",2021.0,72046.25,1702.9207472701237
"Binghamton, NY",2015.0,40065.25,878.335228490032
"Binghamton, NY",2016.0,42330.75,874.3339211733731
"Binghamton, NY",2017.0,44092.0,933.3456217556114
"Binghamton, NY",2018.0,44998.25,801.0462401689624
"Birmingham, AL",2012.0,25232.4,814.934897826959
"Birmingham, AL",2013.0,25417.4,877.063673054968
"Birmingham, AL",2014.0,24730.2,917.809734623603
"Birmingham, AL",2015.0,23999.2,914.304540054753
"Birmingham, AL",2016.0,24396.8,944.8812511337554
"Birmingham, AL",2017.0,25666.0,992.4882235775073
"Birmingham, AL",2018.0,26331.8,1086.9032689573387
"Birmingham, AL",2019.0,27579.2,1085.9802643759342
"Birmingham, AL",2020.0,30609.0,1082.527579257248
"Birmingham, AL",2021.0,33519.4,1193.7825834893788
"Bismarck, ND",2012.0,60733.333333333336,1290.7178371516704
"Bismarck, ND",2013.0,63479.666666666664,1341.7957204850172
"Bismarck, ND",2014.0,64328.666666666664,1550.2823028633393
"Bismarck, ND",2015.0,65890.66666666667,1638.4359108029978
"Bismarck, ND",2016.0,67753.66666666667,1603.486549248145
"Bismarck, ND",2017.0,69346.66666666667,1590.6017808508516
"Bismarck, ND",2018.0,70854.0,1738.1142966428265
"Bismarck, ND",2019.0,72224.0,1672.344280885014
"Bismarck, ND",2020.0,72861.66666666667,1618.4668058865807
"Bismarck, ND",2021.0,75702.33333333333,1673.71324514297
"Blacksburg, VA",2012.0,36937.0,937.227408053762
"Blacksburg, VA",2013.0,39477.0,11350.170836690626
"Blacksburg, VA",2014.0,38162.0,1015.5444052285668
"Blacksburg, VA",2015.0,40135.0,998.6577361172666
"Blacksburg, VA",2016.0,42090.0,1005.5173784609811
"Blacksburg, VA",2017.0,46037.0,1057.2103162925391
"Blacksburg, VA",2018.0,46430.0,1151.9996590387743
"Blacksburg, VA",2019.0,53018.0,1038.4203564179008
"Blacksburg, VA",2020.0,54620.0,1138.351568923743
"Blacksburg, VA",2021.0,56729.0,1245.9455702050016
"Bloomington, IL",2012.0,72220.33333333333,1161.0097052431713
"Bloomington, IL",2013.0,74659.33333333333,1224.4365361250032
"Bloomington, IL",2014.0,75862.0,1275.7907519682556
"Bloomington, IL",2015.0,75604.66666666667,1240.9686146155968
"Bloomington, IL",2016.0,75641.33333333333,1249.4632838922255
"Bloomington, IL",2017.0,78756.33333333333,1289.1389474210096
"Bloomington, IL",2018.0,79917.66666666667,1343.809101159453
"Bloomington, IL",2019.0,81516.33333333333,1216.9524007784676
"Bloomington, IL",2020.0,79010.33333333333,1167.6996685187949
"Bloomington, IL",2021.0,80668.0,1279.4291197230611
"Bloomington, IN",2012.0,40040.666666666664,856.1248437931853
"Bloomington, IN",2013.0,40830.333333333336,910.6500042944258
"Bloomington, IN",2014.0,43074.0,955.7378691711288
"Bloomington, IN",2016.0,44876.666666666664,977.537824880454
"Bloomington, IN",2017.0,46573.666666666664,1056.0896951063232
"Bloomington, IN",2018.0,47170.333333333336,1184.9274194041673
"Bloomington, IN",2019.0,49004.0,1197.8100373829911
"Bloomington, IN",2020.0,51840.333333333336,1197.064534167047
"Bloomington, IN",2021.0,53861.0,1339.6056908427615
"Bloomsburg, PA",2014.0,46481.0,1014.0355196790744
"Bloomsburg, PA",2015.0,44727.0,960.8404743529528
"Bloomsburg, PA",2016.0,46754.0,975.0440079205164
"Bloomsburg, PA",2017.0,48074.0,1013.8368122910816
"Bloomsburg, PA",2018.0,50491.0,1246.370640779114
"Bloomsburg, PA",2019.0,50272.0,1236.1715790826966
"Bloomsburg, PA",2020.0,52824.0,1221.2746549329202
"Bloomsburg, PA",2021.0,56942.0,1278.7096535547553
"Boston, MA",2012.0,91348.2,2055.0160830811815
"Boston, MA",2013.0,87510.8,2249.666698050895
"Boston, MA",2014.0,87793.8,2431.011848207922
"Boston, MA",2015.0,94295.8,2497.9369348763203
"Boston, MA",2016.0,95790.0,2609.1191037632116
"Boston, MA",2017.0,98983.8,2852.2469617748848
"Boston, MA",2018.0,107544.6,3172.1320042949005
"Boston, MA",2019.0,121415.8,3100.952459809787
"Boston, MA",2020.0,114176.2,3009.793854182961
"Boston, MA",2021.0,119657.2,3274.858810240252
"Boulder, CO",2012.0,63095.8,1808.1441361893417
"Boulder, CO",2013.0,62731.6,2015.9256263708037
"Boulder, CO",2014.0,65450.0,2204.335693197498
"Boulder, CO",2015.0,67055.6,2375.685813596021
"Boulder, CO",2016.0,68625.0,2629.0367459173644
"Boulder, CO",2017.0,72742.0,2951.3892221538867
"Boulder, CO",2018.0,74835.6,3229.9464497416197
"Boulder, CO",2019.0,77567.0,3153.4644701730813
"Boulder, CO",2020.0,79559.0,3079.028498347639
"Boulder, CO",2021.0,83253.6,3404.405880855255
"Bowling Green, KY",2014.0,50105.666666666664,817.6333515417251
"Bowling Green, KY",2015.0,49320.333333333336,827.2141271895913
"Bowling Green, KY",2016.0,49908.666666666664,845.9170886725561
"Bowling Green, KY",2017.0,52051.333333333336,945.5156785851468
"Bowling Green, KY",2018.0,54172.0,1045.2133571703837
"Bowling Green, KY",2019.0,54589.333333333336,1036.038177679264
"Bowling Green, KY",2020.0,57374.333333333336,1024.0389323082595
"Bremerton, WA",2012.0,49785.5,1488.0423598623872
"Bremerton, WA",2013.0,52266.5,1575.522537842979
"Bremerton, WA",2014.0,51102.0,1662.0556359570337
"Bremerton, WA",2015.0,51064.25,1699.5330387933943
"Bremerton, WA",2016.0,54472.5,1832.11636299081
"Bremerton, WA",2017.0,56282.25,2101.47515441351
"Bremerton, WA",2018.0,58336.0,2351.814067244209
"Bremerton, WA",2019.0,61412.5,2333.6915429378782
"Bremerton, WA",2020.0,65675.75,2394.166390570286
"Bremerton, WA",2021.0,69317.25,2770.908800728785
"Bridgeport, CT",2012.0,36588.4,2596.159369748535
"Bridgeport, CT",2013.0,37604.6,2720.5502016832947
"Bridgeport, CT",2014.0,38184.2,2842.151575731958
"Bridgeport, CT",2015.0,38184.8,2806.9226760923916
"Bridgeport, CT",2016.0,39852.0,2791.7593248476783
"Bridgeport, CT",2017.0,41645.6,2904.45813169623
"Bridgeport, CT",2018.0,42180.0,3072.8860994679235
"Bridgeport, CT",2019.0,43298.8,2919.3974052129483
"Bridgeport, CT",2020.0,43773.8,2784.0943018378457
"Bridgeport, CT",2021.0,46729.4,3069.132503206499
"Brownsville, TX",2014.0,35236.666666666664,845.3311771898417
"Brownsville, TX",2015.0,36132.666666666664,842.197059686006
"Brownsville, TX",2016.0,36606.666666666664,846.2817726929399
"Brownsville, TX",2017.0,38434.666666666664,900.2043865371719
"Brownsville, TX",2018.0,39013.666666666664,957.8577098232308
"Brownsville, TX",2019.0,40940.0,922.4067017178568
"Brunswick, GA",2013.0,44208.333333333336,927.5306558875732
"Brunswick, GA",2014.0,44803.0,1057.3478154104762
"Brunswick, GA",2015.0,43412.333333333336,971.8552542767158
"Brunswick, GA",2016.0,42619.666666666664,1003.8203447172692
"Brunswick, GA",2017.0,43556.333333333336,1066.6279086646302
"Brunswick, GA",2018.0,45143.333333333336,1208.054849433942
"Brunswick, GA",2019.0,46956.666666666664,1213.8894016786664
"Brunswick, GA",2020.0,50716.333333333336,1209.5145160396237
"Brunswick, GA",2021.0,57060.0,1311.956128281037
"Buffalo, NY",2016.0,32147.0,881.7205521987853
"Buffalo, NY",2017.0,33454.6,1115.632703400633
"Burlington, NC",2016.0,39541.0,865.9799395890785
"Burlington, NC",2017.0,41480.0,916.7943828077496
"Burlington, NC",2018.0,43767.0,1011.3381314612916
"Burlington, NC",2019.0,47198.5,1022.2762788158262
"Burlington, NC",2020.0,50337.0,1007.6051029971936
"Burlington, NC",2021.0,51937.5,1128.2954057366478
"Burlington, VT",2013.0,50133.0,1751.5413182721695
"Burlington, VT",2014.0,51305.0,1818.8271127475389
"Burlington, VT",2015.0,52665.5,1809.927832665567
"Burlington, VT",2016.0,53480.0,1805.5352189345915
"Burlington, VT",2017.0,54661.5,2059.5207761435295
"Burlington, VT",2019.0,56983.5,2094.2220988427257
"California, MD",2014.0,99375.0,1824.0572340611473
"California, MD",2015.0,97063.0,1774.743925896012
"California, MD",2016.0,96404.0,1746.4056933752545
"California, MD",2017.0,94682.0,1823.7298866048257
"California, MD",2018.0,93011.0,1955.678710141975
"California, MD",2019.0,95123.0,1909.6373660851475
"California, MD",2020.0,102125.0,1858.9695632337932
"California, MD",2021.0,100986.0,2016.2951472113136
"Canton, OH",2012.0,28279.6,638.5784080884881
"Canton, OH",2013.0,26835.4,659.2089154965689
"Canton, OH",2014.0,26689.6,761.945192118346
"Canton, OH",2015.0,25536.6,771.2550696480906
"Canton, OH",2016.0,26058.8,798.8439828823836
"Canton, OH",2017.0,26224.0,846.8258091972003
"Canton, OH",2018.0,27140.4,931.313067556462
"Canton, OH",2019.0,29670.6,926.2394840329084
"Canton, OH",2020.0,29188.6,910.8713944863616
"Canton, OH",2021.0,31443.4,1003.1674885643438
"Cape Coral, FL",2012.0,51257.8,956.1433789927992
"Cape Coral, FL",2013.0,49638.6,1111.9200670844637
"Cape Coral, FL",2014.0,50025.6,1241.6100181297932
"Cape Coral, FL",2015.0,50455.6,1320.0976044983122
"Cape Coral, FL",2016.0,53042.6,1426.485103497139
"Cape Coral, FL",2017.0,54759.6,1523.1639801400336
"Cape Coral, FL",2018.0,58087.8,1631.2683013588014
"Cape Coral, FL",2019.0,61213.4,1585.9600169565583
"Cape Coral, FL",2020.0,60257.8,1532.1648805432458
"Cape Coral, FL",2021.0,64618.2,1743.3565111637772
"Cape Girardeau, MO",2012.0,37811.0,783.2474161576201
"Cape Girardeau, MO",2013.0,37221.0,810.2034889732831
"Cape Girardeau, MO",2014.0,34993.0,888.7824393728248
"Cape Girardeau, MO",2015.0,35790.5,854.1384071990909
"Cape Girardeau, MO",2016.0,37800.5,874.7708196803254
"Cape Girardeau, MO",2017.0,37831.5,928.604033230812
"Cape Girardeau, MO",2018.0,41233.0,1003.0610570140998
"Cape Girardeau, MO",2019.0,42149.5,976.5820387752452
"Cape Girardeau, MO",2020.0,40918.5,949.7355836882322
"Cape Girardeau, MO",2021.0,45204.5,1027.8650507774023
"Carbondale, IL",2013.0,31093.0,715.919619273296
"Carbondale, IL",2015.0,35204.666666666664,753.6460540461543
"Carbondale, IL",2017.0,40812.0,782.0491289296491
"Carbondale, IL",2018.0,40718.333333333336,828.8880843101257
"Carbondale, IL",2019.0,36241.0,818.8479305219375
"Carbondale, IL",2020.0,37110.333333333336,801.7531862434416
"Carbondale, IL",2021.0,40003.0,821.4669830673247
"Carson City, NV",2012.0,56506.0,895.8946464871897
"Carson City, NV",2013.0,55063.0,1025.8552846067437
"Carson City, NV",2014.0,54721.5,1158.9803035399711
"Carson City, NV",2015.0,53911.25,1242.6507320967694
"Carson City, NV",2016.0,53435.0,1398.7350896038406
"Carson City, NV",2017.0,54339.5,1593.391106853914
"Carson City, NV",2018.0,57466.75,1842.683909316457
"Carson City, NV",2019.0,60682.5,1880.8375416066356
"Carson City, NV",2020.0,62596.5,1824.8245941708112
"Carson City, NV",2021.0,65501.25,2118.859912432314
"Casper, WY",2015.0,59394.666666666664,1295.881024411164
"Casper, WY",2017.0,61055.666666666664,1260.9988140925832
"Casper, WY",2018.0,62241.666666666664,1314.505789589559
"Casper, WY",2019.0,63214.0,1295.8613641748327
"Casper, WY",2020.0,62708.0,1273.352113860821
"Casper, WY",2021.0,64139.0,1356.7634654172043
"Cedar Rapids, IA",2012.0,46626.0,932.1235976008036
"Cedar Rapids, IA",2013.0,46683.8,982.8210760922232
"Cedar Rapids, IA",2014.0,48793.0,1023.1820951537262
"Cedar Rapids, IA",2015.0,48513.6,1019.976532071351
"Cedar Rapids, IA",2016.0,50137.0,1028.3282235203096
"Cedar Rapids, IA",2017.0,52758.8,1075.8429898957636
"Cedar Rapids, IA",2018.0,55587.4,1157.388631979006
"Cedar Rapids, IA",2019.0,55604.4,1151.1180827093551
"Cedar Rapids, IA",2020.0,57370.2,1118.605333699639
"Cedar Rapids, IA",2021.0,59457.6,1186.7556504002932
"Chambersburg, PA",2012.0,51103.5,878.8880538095787
"Chambersburg, PA",2013.0,51787.0,920.7339992915598
